,precision,recall,f1-score,support
Acute COPD exacerbation / infection,1.0,1.0,1.0,78.0
Acute dystonic reactions,1.0,1.0,1.0,124.0
Acute laryngitis,1.0,0.9767441860465116,0.9882352941176471,129.0
Acute otitis media,1.0,1.0,1.0,131.0
Acute pulmonary edema,1.0,1.0,1.0,94.0
Acute rhinosinusitis,0.9795918367346939,0.6857142857142857,0.8067226890756303,70.0
Allergic sinusitis,1.0,1.0,1.0,81.0
Anaphylaxis,1.0,1.0,1.0,142.0
Anemia,1.0,1.0,1.0,261.0
Atrial fibrillation,1.0,1.0,1.0,99.0
Boerhaave,1.0,1.0,1.0,78.0
Bronchiectasis,1.0,1.0,1.0,88.0
Bronchiolitis,1.0,1.0,1.0,1.0
Bronchitis,1.0,1.0,1.0,134.0
Bronchospasm / acute asthma exacerbation,1.0,1.0,1.0,83.0
Chagas,1.0,1.0,1.0,42.0
Chronic rhinosinusitis,0.8225806451612904,0.9902912621359223,0.8986784140969163,103.0
Cluster headache,1.0,1.0,1.0,107.0
Croup,1.0,1.0,1.0,10.0
Ebola,1.0,1.0,1.0,3.0
Epiglottitis,1.0,1.0,1.0,85.0
GERD,1.0,1.0,1.0,129.0
Guillain-Barré syndrome,1.0,1.0,1.0,97.0
HIV (initial infection),1.0,1.0,1.0,145.0
Influenza,1.0,1.0,1.0,136.0
Inguinal hernia,1.0,1.0,1.0,99.0
Larygospasm,1.0,1.0,1.0,25.0
Localized edema,1.0,1.0,1.0,139.0
Myasthenia gravis,1.0,1.0,1.0,82.0
Myocarditis,1.0,1.0,1.0,58.0
PSVT,1.0,1.0,1.0,90.0
Pancreatic neoplasm,1.0,1.0,1.0,97.0
Panic attack,1.0,1.0,1.0,122.0
Pericarditis,1.0,1.0,1.0,114.0
Pneumonia,1.0,1.0,1.0,132.0
Possible NSTEMI / STEMI,1.0,1.0,1.0,111.0
Pulmonary embolism,1.0,1.0,1.0,141.0
Pulmonary neoplasm,1.0,1.0,1.0,71.0
SLE,1.0,1.0,1.0,60.0
Sarcoidosis,1.0,1.0,1.0,114.0
Scombroid food poisoning,1.0,1.0,1.0,85.0
Spontaneous pneumothorax,1.0,1.0,1.0,53.0
Spontaneous rib fracture,1.0,1.0,1.0,30.0
Stable angina,0.9263157894736842,1.0,0.9617486338797814,88.0
Tuberculosis,1.0,1.0,1.0,76.0
URTI,1.0,1.0,1.0,327.0
Unstable angina,1.0,0.9326923076923077,0.9651741293532339,104.0
Viral pharyngitis,0.9904458598726115,1.0,0.9952,311.0
Whooping cough,1.0,1.0,1.0,21.0
accuracy,0.9934,0.9934,0.9934,0.9934
macro avg,0.9942639618620873,0.991539633501817,0.9921583502147594,5000.0
weighted avg,0.9941683373834216,0.9934,0.9932072014125221,5000.0
